POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Building_Constructed,Public_Space_Type,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required,Amenities_Required,Other_Required,Permitted_Amenities,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
M010050,Manhattan,1,1,2,GOLD STREET,10038,"2 GOLD STREET, New York, NY 10038",69,18,Two Gold,Northeast side of Maiden Lane between Gold Street and Pearl Street,2005,Completed,Urban Plaza,Rockrose Development Corp.,Avinash K. Architects,"Mathews Nielsen Landscape Architects, P.C.",Urban Plaza 8130.00 sf,Urban Plaza: 24 Hours,"Urban Plaza: Artwork (sculpture provided); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (4.06 cubic feet required, 18 cf (3 trash receptacles) provided); Urban Plaza: Planting (154 sf); Urban Plaza: Plaque/Sign (2 entry plaques and 1 informational plaque required, 2 entry plaques and 2 informational plaques provided); Urban Plaza: Retail Frontage; Urban Plaza: Seating (310 linear feet including 116.25 lf with backs required, 321 lf (221.82 lf of which have backs) including 6 benches without backs, 7 benches with backs, 36 movable chairs with backs, 20 fixed chairs with backs, 1 curved long wooden bench, 2 straight long wooden benches without backs, and 2 planters benches provided); Urban Plaza: Tables (5 fixed tables and 9 movable tables provided); Urban Plaza: Trees within Space (13 required, 14 provided including 8 Scholar trees and 18 bamboo canes)",,,Full/Partial,40.70741,-74.006932,982328,197005
M010051,Manhattan,1,1,123,WASHINGTON STREET,10006,"123 WASHINGTON STREET, New York, NY 10006",53,7502,W Downtown Hotel & Residences,Southeast corner of Albany Street and Washington Street,2010,Completed,Urban Plaza,Moinian Group,"Gwathmey Siegel and Associates Architects, LLC",Thomas Balsley Associates,Urban Plaza 5978.00 sf,Urban Plaza: 24 Hours,"Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (2.99 cubic feet required, 15.63 cf (3 trash receptacles) provided); Urban Plaza: Other Required (kiosk provided); Urban Plaza: Planting (730 sf); Urban Plaza: Plaque/Sign (1 entry plaque, 1 information plaque); Urban Plaza: Retail Frontage (13'-7.3"" required, 27'-2.6"" provided); Urban Plaza: Seating (199.27 linear feet including 74.73 lf with backs required, 225.83 lf including 176.42 lf with backs provided); Urban Plaza: Tables (7 fixed tables provided); Urban Plaza: Trees on Street (17 required, 5 provided on street, 9  provided in Urban Plaza, and 3 elsewhere); Urban Plaza: Trees within Space (10 required, 19 provided including 9 that satisfy ""Trees on Street"" requirement)",kiosk provided,,Full/Partial,40.709161,-74.013714,980448,197643
M010052,Manhattan,1,1,50,WEST STREET,10006,"50 WEST STREET, New York, NY 10006",17,18,,East side of West Street between Joseph P. Ward Street and Rector Street,2014,Completed,Public Open Space,"Time Equities, Inc., 50 West Street Development, LLC","SLCE Architects, LLP","SLCE Architects, LLP; W Architecture and Landscape",Public Open Space 0.00 sf,Public Open Space: 24 Hours,"Public Open Space: Lighting (minimum 2 foot candles at all walkable and sitting areas, minimum .5 foot candles everywhere else); Public Open Space: Litter Receptacles (3); Public Open Space: Planting (1,785 sf); Public Open Space: Plaque/Sign (1 entry plaque, 3 information plaques); Public Open Space: Retail Frontage (on Washington Street and West Street); Public Open Space: Seating (275 linear feet including 24.5 lf seats with backs, 129.5 lf seats without backs, and 121 lf wall seating); Public Open Space: Trees within Space (15)",,,Full/Partial,40.707761,-74.014994,980093,197133
M010053,Manhattan,1,1,8,SPRUCE STREET,10038,"8 SPRUCE STREET, New York, NY 10038",100,7502,New York by Gehry,Fronting Spruce Street and Beekman Street between Nassau Street and Gold Street,2011,Completed,Non-Bonused Open Area; Porte Cochere; Urban Plaza,Forest City Ratner,"Gehry Architects New York, PC",Field Operations,Non-Bonused Open Area 0.00 sf; Porte Cochere 0.00 sf; Urban Plaza 15533.00 sf,Non-Bonused Open Area: 24 Hours; Porte Cochere: 24 Hours; Urban Plaza: 24 Hours,"Non-Bonused Open Area: None; Porte Cochere: None; Urban Plaza: Bicycle Parking (West Plaza: 4 spaces; William Street Plaza: 2 spaces); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (West Plaza: 7; William Street Plaza: 3); Urban Plaza: Planting (West Plaza: 3,371sf; William Street Plaza: 699 sf); Urban Plaza: Plaque/Sign (West Plaza: 2 entry/information plaques; William Street Plaza: 1 entry/information plaque); Urban Plaza: Seating (West Plaza: 392 linear feet; William Street Plaza: 160 lf); Urban Plaza: Tables (West Plaza: 10; William Street Plaza: 5); Urban Plaza: Trees on Street (54 required, 28 provided on-site, 15 provided in Urban Plaza and 9 to be provided elsewhere); Urban Plaza: Trees within Space (West Plaza: 10 required, 25 provided including 15 to satisfy Trees on Street requirement; William Street Plaza: 4); Urban Plaza: Water Feature (West Plaza: 5 groups of water jets)",,,Full/Partial,40.71097,-74.005677,982676,198302
M010054,Manhattan,1,1,99,CHURCH STREET,10007,"99 CHURCH STREET, New York, NY 10007",123,7502,30 Park Place,East side of Church Street between Park Place and Barclay Street,2017,Completed,Public Plaza,Silverstein Properties,Robert A.M. Stern,"SLCE Architects and Lee Weintraub, Landscape Architect",Public Plaza 8403.00 sf,Public Plaza: 24 Hours,"Public Plaza: Bicycle Parking (2 spaces); Public Plaza: Drinking Fountain (1); Public Plaza: Lighting; Public Plaza: Litter Receptacles (South Public Plaza: 2;  North Public Plaza: 3); Public Plaza: Planting (South Public Plaza: 712 sf required, 732 sf provided; North Public Plaza: 969 sf required, 971 sf provided); Public Plaza: Plaque/Sign (South Public Plaza: 2 entry plaques and 1 information plaque; North Public Plaza: 2 entry plaques and 1 information plaque); Public Plaza: Retail Frontage (South Public Plaza: 52'-4.4"" required, 52'-4.5"" provided; North Public Plaza: 69'-9.1"" required, 72'-3.25"" provided); Public Plaza: Seating (South Public Plaza: 119 linear feet required, 122 lf including 26 fixed chairs, 13 movable chairs (26 lf), and 44 lf fixed benches provided; North Public Plaza: 161 lf required, 163 lf including 35 fixed chairs, 21 movable chairs (42 lf), and 51 lf fixed benches provided); Public Plaza: Tables (36); Public Plaza: Trees within Space (South Public Plaza: 4; North Public Plaza: 5); Public Plaza: Water Feature (South Public Plaza: glass shingle fountain; North Public Plaza: raised metal and glass table with cascading water)",,,Full/Partial,40.712776,-74.009036,981622,199023
M010055,Manhattan,1,1,33,BEEKMAN STREET,10038,"33 BEEKMAN STREET, New York, NY 10038",92,7501,,South side of Beekman Street between Nassau Street and William Street,2016,Completed,Public Plaza,Naftali Group and SL Green Realty,Gene Kaufman Architects,Thomas Balsley Architects,Public Plaza 3012.00 sf,Public Plaza: 24 Hours,"Public Plaza: Bicycle Parking (2 spaces); Public Plaza: Drinking Fountain (1); Public Plaza: Lighting; Public Plaza: Litter Receptacles (2); Public Plaza: Planting (602.4 sf required, 759 sf provided); Public Plaza: Plaque/Sign (2 entry plaques, 1 information plaque); Public Plaza: Retail Frontage (27' 10.5"" required, 27' 11"" provided); Public Plaza: Seating (100.4 linear feet required, 137 lf including 109 lf fixed benches and 14 movable chairs (28 lf) provided); Public Plaza: Tables (4 movable tables); Public Plaza: Trees on Street (5); Public Plaza: Trees within Space (4 required, 8 provided)",,,Full/Partial,40.71052,-74.00597,982650,198149
M010056,Manhattan,1,1,43,PARK PLACE,10007,"43 PARK PLACE, New York, NY 10007",126,8,,North side of Park Place midblock between Church Street and West Broadway,Under Construction,Under Construction,Public Access Area; Public Plaza,Soho Properties,SOMA,Thomas Balsley Associates,Public Access Area 0.00 sf; Public Plaza 2866.92 sf,Public Access Area: 24 Hours; Public Plaza: 24 Hours,"Public Access Area: None; Public Plaza: Bicycle Parking (2 spaces); Public Plaza: Drinking Fountain (1); Public Plaza: Lighting; Public Plaza: Litter Receptacles (2); Public Plaza: Other Required (glass pavers, greenwall); Public Plaza: Planting (573.4 sf required, 614 sf provided); Public Plaza: Plaque/Sign (1 entry plaque, 1 combined entry and information plaque); Public Plaza: Retail Frontage (32' required, 64' provided); Public Plaza: Seating (95.6 linear feet required, 119.83 lf including 62.33 lf backed cast stone benches, 37.5 lf backless cast stone benches, and 10 movable chairs (20 lf) provided); Public Plaza: Tables (3 required, 6 provided); Public Plaza: Trees on Street (5); Public Plaza: Trees within Space (4 required, 5 provided); Public Plaza: Water Feature (125.6 sf scrim fountain)","glass pavers, greenwall",,Full/Partial,40.713709,-74.009801,981510,199242
M010057,Manhattan,1,1,111,MURRAY STREET,10007,"111 MURRAY STREET, New York, NY 10007",142,100,One Eleven Murray Street,Northeast corner of Murray Street and West Street,Under Construction,Under Construction,Public Plaza,Fisher Brothers,Kohn Pedersen Fox Associates,Hollander Design,Public Plaza 10599.00 sf,Public Plaza: 24 Hours,"Public Plaza: Artwork (sculpture); Public Plaza: Bicycle Parking (4 spaces); Public Plaza: Drinking Fountain (1); Public Plaza: Lighting (minimum 2 foot candles provided in all walkable, adjacent public sidewalk and seating areas, minimum .5 foot candles provided in all other areas); Public Plaza: Litter Receptacles (7 required, 12 provided); Public Plaza: Planting (2,119.8 sf required, 3,685.8 sf provided); Public Plaza: Plaque/Sign (1 free standing entry and information plaque, 1 wall-mounted entry plaque); Public Plaza: Retail Frontage (50.165' required, 50.17' provided); Public Plaza: Seating (353.3 linear feet required, 362.8 lf including 208 lf fixed benches with backs, 34.8 lf seat wall, and 60 movable chairs (120 lf) provided); Public Plaza: Tables (14 required, 16 provided); Public Plaza: Trees on Street (12 required, 5 provided on West Street, 6 provided on Murray Street, and the rest paid into tree fund); Public Plaza: Trees within Space (9 required, 15 provided); Public Plaza: Water Feature (fountain)",,,Full/Partial,40.715408,-74.012593,980759,199919
M010058,Manhattan,1,1,375,PEARL STREET,10038,"375 PEARL STREET, New York, NY 10038",113,7501,Verizon Building,Pearl Street bounded by Avenue of the Finest and Madison Street,1971,Completed,Arcade; Plaza,"Intergate Manhattan, LLC","Rose, Beaton & Rose Architects & Engineers",; Starr Whitehouse Landscape Architects & Planners PLLC (Design Change and Arcade Reduction 11/06/2017),Arcade 0.00 sf; Plaza 19500.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,"Arcade: None; Plaza: Bicycle Parking (8 Bicycle parking spaces, 4 Bike racks); Plaza: Drinking Fountain (1); Plaza: Food Service; Plaza: Lighting; Plaza: Litter Receptacles (11 Provided); Plaza: Other Required (Light Sculpture); Plaza: Planting (2496 sf provided); Plaza: Plaque/Sign (5 Entry plaques, 1 Information plaques); Plaza: Seating (469.96 LF seating provided, including 75 movable chairs); Plaza: Tables (11 movable tables); Plaza: Trees on Street (31 street trees); Plaza: Trees within Space (11 provided)",Light Sculpture,,Unknown,40.710907,-74.001176,983924,198279
M010059,Manhattan,1,1,376,BROADWAY,10013,"376 BROADWAY, New York, NY 10013",172,7501,Mandarin Plaza,East side of Broadway between White Street and Franklin Street,1990,Completed,Residential Plaza,Tommy Lee and William Co.,Daniel Pang Associates Architects and Planners,"Daniel Pang Associates Architects and Planners, Engel/GGP Landscape Architects",Residential Plaza 3752.00 sf,Residential Plaza: 24 Hours,"Residential Plaza: Bicycle Parking (Primary Space: 6 spaces (36 sf)); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (Primary Space: 6 cubic feet); Residential Plaza: Other Required (1 unenclosed pavilion); Residential Plaza: Planting (Primary Space: 450 sf required, 486 sf provided; Visual Residual Space: 518 sf required); Residential Plaza: Plaque/Sign (Primary Space: 1); Residential Plaza: Seating (38 linear feet including 10% with backs required, 40 lf including 100% with backs provided); Residential Plaza: Trees on Street (12); Residential Plaza: Trees within Space (3)",1 unenclosed pavilion,,Full/Partial,40.717714,-74.002814,983470,200759
M010060,Manhattan,1,1,130,WILLIAM STREET,10038,"130 WILLIAM STREET, New York, NY 10038",77,15,,"Located on the block bounded by William Street, Fulton Street, Gold Street and John Street.",Under Construction,Under Construction,Public Plaza,,SHoP Architects,James Corner Field Operations; Weintraub Diaz LLC,Public Plaza 5317.00 sf,Public Plaza: 24 Hours,"Public Plaza: Bicycle Parking (2); Public Plaza: Drinking Fountain (2); Public Plaza: Lighting; Public Plaza: Litter Receptacles (4); Public Plaza: Planting (1094 sf planting beds provided); Public Plaza: Plaque/Sign (Entry plaque combined with information plaque / 2 provided); Public Plaza: Retail Frontage (48'-10""); Public Plaza: Seating (186'-10"" LF seating provided including fixed benches with backs, fixed benches without backs and 34 movable chairs); Public Plaza: Tables (9 movable tables, 6 fixed tables); Public Plaza: Trees within Space (11 provided)",,,Full/Partial,40.70903,-74.006352,982382,197671
M010061,Manhattan,1,1,95,SOUTH STREET,10038,"95 SOUTH STREET, New York, NY 10038",73,10,Pier 17,,,,Public Access Area,,"SHoP Architects, P.C.",James Corner Field Operations,,,,,, ,40.705442,-74.001482,983410,196600
M020001,Manhattan,1,2,60,EAST 8 STREET,10003,"60 EAST 8 STREET, New York, NY 10003",548,7501,Georgetown Plaza,Southeast corner of East 8th and Mercer Streets,1966,Completed,Plaza,Rose Associates,Boak & Rad,Boak & Rad,Plaza 10975.00 sf,Plaza: 24 Hours,Plaza: None,,,Full/Partial,40.730499,-73.993076,986169,205417
M020002,Manhattan,1,2,300,MERCER STREET,10003,"300 MERCER STREET, New York, NY 10003",548,70,,Northeast corner of Mercer Street and Waverly Place,1974,Completed,Arcade; Plaza,,"Schuman, Lichtenstein, Claman","Schuman, Lichtenstein, Claman",Arcade 2185.70 sf; Plaza 11459.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.730071,-73.993444,986067,205261
M020003,Manhattan,1,2,375,HUDSON STREET,10014,"375 HUDSON STREET, New York, NY 10014",599,64,Saatchi & Saatchi,"Full block bounded by Hudson, Greenwich, King Streets, and West Houston Streets",1987,Completed,Arcade; Plaza,,Lee Harris Pomeroy Associates/Emery Roth & Sons,Lee Harris Pomeroy Associates/Emery Roth & Sons,Arcade 2454.30 sf; Plaza 13163.87 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.728482,-74.007923,982054,204682
M020004,Manhattan,1,2,99,JANE STREET,10014,"99 JANE STREET, New York, NY 10014",642,7502,,Full blockfront on west side of Washington Street between Jane and Horatio Streets,1999,Completed,Park,Strasbourg Realty and 101 Jane Street Company,Fox & Fowle,Marie L. Drews-D'Angelo,Park 7000.00 sf,"Park: Restricted Hours (May 1 through October 15, 7:00 am to 9:30 pm, October 16 through April 30, 7:00 am to 7:00 pm)","Park: Lighting; Park: Litter Receptacles (4); Park: Planting (1,980 sf); Park: Plaque/Sign (2); Park: Seating (160 linear feet including 24 movable chairs and 36 lf with backs); Park: Trees within Space (14); Park: Water Feature (water element centered on the west side of Park)",,,Full/Partial,40.738442,-74.008596,981868,208311
M020006,Manhattan,1,2,246,SPRING STREET,10013,"246 SPRING STREET, New York, NY 10013",491,7503,The Dominick,Southeast corner of Varick and Spring Streets,2010,Completed,Arcade; Urban Plaza,"Bayrock/Sapir Organization, LLC and Trump Luxury Real Estate",Handel Architects,Mathews Nielsen,Arcade 8616.00 sf; Urban Plaza 1731.00 sf,Arcade: 24 Hours; Urban Plaza: 24 Hours,"Arcade: None; Urban Plaza: Lighting (2 foot candles); Urban Plaza: Litter Receptacles (North Plaza: 4; South Plaza: 2); Urban Plaza: Other Required (green screen); Urban Plaza: Planting (North Plaza: 563 sf; South Plaza: 4,339 sf); Urban Plaza: Plaque/Sign (North Plaza: 1 entry plaque; South Plaza: 1 entry plaque, 1 informational plaque); Urban Plaza: Retail Frontage (137' 10""); Urban Plaza: Seating (North Plaza: 150 linear feet including 135.48 sf of benches with backs, 54 sf of double benches without backs, and 28 movable chairs; South Plaza: 184.75 lf including 146.77 sf benches with backs, 108 sf double benches without backs, and 24 movable chairs); Urban Plaza: Tables (13 movable); Urban Plaza: Trees on Street (5 on street, 6 in Urban Plaza, 6 off-site); Urban Plaza: Trees within Space (North Plaza: 7; South Plaza: 12 including 6 that satisfy Trees on Street requirement)",green screen,,None,40.725306,-74.005408,982794,203638
M020007,Manhattan,1,2,26,ASTOR PLACE,10003,"26 ASTOR PLACE, New York, NY 10003",544,7502,Astor Place,South side of Astor Place between Lafayette Street and Cooper Square,2005,Completed,Residential Plaza; Unbonused Open Space,The Related Companies,"Gwathmey Siegel & Associates / Ishmael Leyva Architects, P.C.","Gwathmey Siegel & Associates / Ishmael Leyva Architects, P.C.",Residential Plaza 4498.00 sf; Unbonused Open Space 0.00 sf,Residential Plaza: 24 Hours; Unbonused Open Space: 24 Hours,"Residential Plaza: Bicycle Parking (5.4 bicycle spaces required, 6 bicycle spaces provided); Residential Plaza: Drinking Fountain (1); Residential Plaza: Lighting (minimum 2 foot candles); Residential Plaza: Litter Receptacles (5.4 cubic feet required, 8 cf (2 litter receptacles) provided); Residential Plaza: Planting (405 sf ground cover required, 1,090 sf ground cover provided; 1,800 sf landscaped Residual Space); Residential Plaza: Plaque/Sign (3 sf plaque); Residential Plaza: Seating (90 linear feet required, 100 lf including 20 chairs (50 lf), 2 single benches (8 lf), and a curved bench with a back (42 lf) provided); Residential Plaza: Tables (tables and seating for 16 people required, tables and seating for 20 people provided); Residential Plaza: Trees within Space (4.05 trees required, 6 trees provided); Unbonused Open Space: None",,,Full/Partial,40.729513,-73.991236,986679,205058
M020010,Manhattan,1,2,550,WASHINGTON STREET,10014,"550 WASHINGTON STREET, New York, NY 10014",596,7502,,,,,Public Access Area,,"Cookfox Architects, DPC","Dirtworks, PC",,,,,,Full/Partial,40.728575,-74.009983,981611,204564
M020011,Manhattan,1,2,133,BLEECKER STREET,10012,"133 BLEECKER STREET, New York, NY 10012",533,1,NYU Core,,,,Public Access Area,,,,,,,,, ,40.728076,-73.997197,984642,204469
M030001,Manhattan,1,3,51,ASTOR PLACE,10003,"51 ASTOR PLACE, New York, NY 10003",554,35,,"Full block bounded by Third Avenue, Astor Place, Fourth Avenue and East 9th Street",2012,Completed,Open Space,"Edward J. Minskoff Equities, Inc",Maki and Associates,Thomas Balsley Associates,Open Space 0.00 sf,Open Space: 24 Hours,"Open Space: Artwork (sculpture); Open Space: Bicycle Parking (2 bike parking spaces); Open Space: Lighting; Open Space: Litter Receptacles (3 trash receptacles); Open Space: Planting (256.4 sf); Open Space: Plaque/Sign (3 entry plaques, 1 information plaque); Open Space: Seating (157.3 linear feet including granite seatwall with back and benches with wooden slats with backs); Open Space: Trees within Space (7)",,,Full/Partial,40.730068,-73.990168,986975,205260
M030002,Manhattan,1,3,189,BOWERY,10002,"189 BOWERY, New York, NY 10002",425,4,citizenM Bowery,East side of Bowery between Delancey Street and Rivington Street,2018,Completed,Public Plaza,OSIB-BCRE,The Stephen B. Jacobs Group,"The Stephen B. Jacobs Group, Abel Bainnson Butz, LLP",Public Plaza 3383.30 sf,Public Plaza: 24 Hours,"Public Plaza: Artwork (art wall/mural, ivy wall, art display); Public Plaza: Bicycle Parking (2 bike racks); Public Plaza: Drinking Fountain (1); Public Plaza: Lighting (minimum 2 foot candles for walkable and sitting areas, minimum .5 foot candles for all other areas); Public Plaza: Litter Receptacles (3); Public Plaza: Planting (677 sf required, 688 sf provided); Public Plaza: Plaque/Sign (3 entry plaques, 1 information plaque combined with one of the entry plaques); Public Plaza: Retail Frontage (42' 2""); Public Plaza: Seating (113 linear feet required, 160 lf including 91.1 lf fixed benches with backs, 45 lf fixed benches without backs, and 12 movable chairs provided); Public Plaza: Tables (4 fixed round tables, 2 wooden picnic benches); Public Plaza: Trees on Street (2 trees, through payment to NYC Department of Parks and Recreation); Public Plaza: Trees within Space (4 required, 6 provided)",,,Full/Partial,40.720604,-73.993499,985951,201862
M040001,Manhattan,1,4,555,WEST 57 STREET,10019,"555 WEST 57 STREET, New York, NY 10019",1086,1,BMW,Full blockfront on east side of Eleventh Avenue between West 57th and 58th Streets,1971,Completed,Arcade; Plaza,,Eggers and Higgins,Eggers and Higgins,Arcade 9061.00 sf; Plaza 14359.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.770402,-73.990491,986884,219955
M040002,Manhattan,1,4,347,WEST 57 STREET,10019,"347 WEST 57 STREET, New York, NY 10019",1048,7501,Colonnade,North side of West 57th Street between Eighth and Ninth Avenues,1976,Completed,Plaza,Rose Associates,Philip Birnbaum,Philip Birnbaum,Plaza 2150.00 sf,Plaza: 24 Hours,Plaza: None,,,Full/Partial,40.767961,-73.984574,988523,219066
M040003,Manhattan,1,4,322,WEST 57 STREET,10019,"322 WEST 57 STREET, New York, NY 10019",1047,7503,Sheffield,South side of West 57th Street between Eighth and Ninth Avenues,1978,Completed,Arcade; Plaza,Invesco Holdings and Parc Vendome Company,Emery Roth & Sons,"Emery Roth & Sons; Thomas Balsley Associates (for alteration in 1998); Moed de Armas & Shannon, Architects, PC (for alteration in 2006, 2008)",Arcade 3499.69 sf; Plaza 30629.69 sf,"Arcade: 24 Hours (Arcade); Plaza: Restricted Hours (Plaza (on Ninth Avenue): May 1 through September 30 from 7:00 am to 9:00 pm, October 1 through April 30 from 7:00 am to 7:00 pm; 24 Hours: Plaza (adjacent to Sheffield))","Arcade: None; Plaza: Artwork (Plaza (adjacent to Sheffield)); Plaza: Bicycle Parking (Plaza (on Ninth Avenue): 5 spaces; Plaza (adjacent to Sheffield): 12 spaces); Plaza: Drinking Fountain (Plaza (on Ninth Avenue): 1; Plaza (adjacent to Sheffield): 1); Plaza: Food Service (Plaza (adjacent to Sheffield)); Plaza: Lighting (Plaza (on Ninth Avenue);  Plaza (adjacent to Sheffield)); Plaza: Litter Receptacles (Plaza (on Ninth Avenue): 28 cubic feet; Plaza (adjacent to Sheffield): 10); Plaza: Other Required (Plaza (on Ninth Avenue): 2,020 sf lawn, play equipment); Plaza: Planting (Plaza (on Ninth Avenue): 3,055 sf; Plaza (adjacent to Sheffield): 2,624 sf); Plaza: Plaque/Sign (Plaza (on Ninth Avenue): 2;  Plaza (adjacent to Sheffield): 6 entry plaques, 2 information plaques, 1 hours of access plaque); Plaza: Seating (Plaza (on Ninth Avenue): 378 linear feet including of 117 lf seating with backs, 26 movable chairs with backs (39 lf), 162 lf seatwall, and 60 lf seatwall with backs; Plaza (adjacent to Sheffield): 661.33 lf including 358.75 lf fixed linear seating with backs, 212.58 lf fixed linear seating without backs, 33 fixed chairs with backs, and 12 movable chairs); Plaza: Tables (Plaza (on Ninth Avenue): 13; Plaza (adjacent to Sheffield)); Plaza: Trees on Street (37); Plaza: Trees within Space (Plaza (on Ninth Avenue): 33;  Plaza (adjacent to Sheffield): 13); Plaza: Water Feature (Plaza (adjacent to Sheffield): reflecting pool)","Plaza (on Ninth Avenue): 2,020 sf lawn, play equipment","Plaza: Open Air Cafe; Plaza: Other Permitted (Plaza (on Ninth Avenue): 2 Kiosk expiring April 20, 2016 (N 160129 ZCM))",Full/Partial,40.766825,-73.984238,988616,218652
M040004,Manhattan,1,4,825,EIGHTH AVENUE,10019,"825 EIGHTH AVENUE, New York, NY 10019",1040,29,One Worldwide Plaza,"Entire block bounded by Eighth Avenue, Ninth Avenue, West 49th Street and West 50th Street",1989,Completed,Elliptical Arcades; Plaza; Subway Access Areas,William Zeckendorf Jr./ZCWK Associates/NY Communications Developer,"Skidmore, Owings & Merrill and Frank Williams & Asscociates (residential)",SWA Group; Mathews Nielsen Landscape Architects (for alteration in 2002),Elliptical Arcades 0.00 sf; Plaza 26806.00 sf; Subway Access Areas 0.00 sf,Elliptical Arcades: Restricted Hours (Elliptical Arcades: 6:00 am to 9:00 pm); Plaza: 24 Hours; Subway Access Areas: 24 Hours,"Elliptical Arcades: Lighting; Elliptical Arcades: Restrooms (Elliptical Arcade: 2 adjacent to the Plaza); Elliptical Arcades: Retail Frontage; Plaza: Bicycle Parking (Plaza: 2 bike racks); Plaza: Drinking Fountain (Plaza: 1); Plaza: Food Service (Plaza: 2 retail pavilions with eating establishments); Plaza: Lighting; Plaza: Litter Receptacles (Plaza: 10); Plaza: Other Required (Plaza: pavilion on West 49th Street side of Plaza providing access for disabled persons to movies); Plaza: Planting (Plaza: 3,967 sf); Plaza: Plaque/Sign (Plaza: 2 double-sided information signs, 2 public restroom signs); Plaza: Programs (Plaza: entertainment to be provided (weather permitting) on a biweekly basis, between May 15 and October 1 of each year, located in the Central Plaza area to the east of the fountain and consisting primarily of professional music presentations); Plaza: Retail Frontage; Plaza: Seating (Plaza: 1,281 linear feet including 468 lf seatwalls without backs, 324 lf seatwalls with backs, 134 chairs in the Central Plaza Area between 7:00 am and midnight between March 15 and November 15 and between 8:00 am and 7:00 pm between November 16 and December 14, and 96 chairs in each of the Public Pavilion Areas between 7:00 am and midnight between March 15 and November 15; 67 chairs are required in each of the Public Pavilion Areas between 8:00 am and 7:00 pm between December 15 and March 14); Plaza: Tables (116 with no fewer than 20 tables in the Central Plaza Area between 7:00 am and midnight between March 15 and November 15, and no fewer than 24 tables in each of the Public Pavilion Areas between 7:00 am and midnight between March 15 and November 15 and between 8:00 am and 7:00 pm between November 16 and December 14; no fewer than 10 tables required in each of the Public Pavilion Areas between 8:00 am and 7:00 pm between December 15 and March 14); Plaza: Trees on Street (57); Plaza: Trees within Space (Plaza: 20 single-stem, 22 multi-stem); Plaza: Water Feature (Plaza: 855 sf fountain operating between 7:00 am and midnight between March 15 and November 15); Subway Access Areas: Escalator (Subway Access Areas: escalators and elevator connecting Subway Access Areas on street level to subway); Subway Access Areas: Lighting; Subway Access Areas: Subway (Subway Access Areas: new subway entrances within building at West 49th and 50th Streets at Eighth Avenue with escalator, elevator, and stair access)",Plaza: pavilion on West 49th Street side of Plaza providing access for disabled persons to movies,,Full/Partial,40.76223,-73.986943,987867,216978
M040007,Manhattan,1,4,330,WEST 56 STREET,10019,"330 WEST 56 STREET, New York, NY 10019",1046,47,,South side of West 56th Street between Eighth and Ninth Avenues,1974,Completed,Arcade; Plaza,,Schuman Lichtenstein & Claman,Schuman Lichtenstein & Claman,Arcade 4898.00 sf; Plaza 2603.00 sf,Arcade: 24 Hours; Plaza: 24 Hours,Arcade: None; Plaza: None,,,Full/Partial,40.766509,-73.985054,988390,218537
M040008,Manhattan,1,4,1000,TENTH AVENUE,10019,"1000 TENTH AVENUE, New York, NY 10019",1068,1,St. Luke's-Roosevelt Hospital Center,"Full block bounded by Ninth Avenue, Tenth  Avenue, West 58th Street, and West 59th Street",1990,Completed,Public Open Space,,"Skidmore Owings & Merrill/Norman Rosenfeld, Buck/Cane","Skidmore Owings & Merrill/Norman Rosenfeld, Buck/Cane",Public Open Space 13266.00 sf,Public Open Space: Restricted Hours (8:00 am to sunset),Public Open Space: Lighting; Public Open Space: Litter Receptacles (12); Public Open Space: Planting; Public Open Space: Plaque/Sign (12); Public Open Space: Seating (30 benches totaling 256 linear feet); Public Open Space: Trees on Street (27); Public Open Space: Trees within Space (22),,,Full/Partial,40.769696,-73.986888,987882,219698
